host id;host_identity_verified;neighbourhood;cancellation_policy;room type;Construction year;price;service fee;minimum nights;number of reviews;last review
123600518;unconfirmed;Hell's Kitchen;moderate;Entire home/apt;2013;$694 ;$139 ;14;15;7/1/2019
124039648;unconfirmed;Upper West Side;flexible;Entire home/apt;2018;$548 ;$110 ;3;4;11/5/2018
124472619;verified;Williamsburg;strict;Private room;2018;$779 ;$156 ;3;6;1/2/2017
129756565;verified;Astoria;strict;Private room;2012;$1,170 ;$234 ;4;70;6/12/2019
130349612;unconfirmed;Chelsea;moderate;Entire home/apt;2012;$684 ;$137 ;20;6;5/5/2019
130593431;verified;Williamsburg;strict;Entire home/apt;2006;$877 ;$175 ;6;0;
131602089;unconfirmed;Sunset Park;strict;Private room;2003;$417 ;$83 ;2;45;1/1/2018
132238305;verified;Parkchester;flexible;Entire home/apt;2019;$1,096 ;$219 ;5;1;1/1/2015
133264740;verified;Williamsburg;flexible;Private room;2017;$200 ;$40 ;3;6;3/24/2019
134452120;verified;Sunset Park;flexible;Private room;2006;$466 ;$93 ;1;34;5/31/2019
134952296;verified;Greenpoint;strict;Private room;2005;$362 ;$72 ;1;0;
135403219;verified;Financial District;flexible;Entire home/apt;2017;$805 ;$161 ;2;21;2/7/2022
136551032;unconfirmed;Astoria;moderate;Private room;2008;$715 ;$143 ;7;0;
138051117;verified;Long Island City;flexible;Private room;2005;$910 ;$182 ;1;62;6/23/2019
138195177;unconfirmed;Long Island City;moderate;Entire home/apt;2008;$880 ;$176 ;31;2;6/22/2019
139350147;unconfirmed;Harlem;strict;Private room;2012;$965 ;$193 ;1;0;
139584674;unconfirmed;Springfield Gardens;moderate;Private room;2020;$232 ;$46 ;2;12;6/15/2019
140550375;unconfirmed;Gowanus;flexible;Entire home/apt;2007;$255 ;$51 ;4;10;12/29/2018
142125177;unconfirmed;Harlem;moderate;Private room;2022;$765 ;$153 ;3;62;6/30/2019
143235825;verified;Ditmars Steinway;flexible;Private room;2008;$437 ;$87 ;7;1;7/1/2017
143634713;verified;Rosedale;flexible;Entire home/apt;2011;$806 ;$161 ;5;40;2/12/2022
144525131;unconfirmed;Bushwick;flexible;Entire home/apt;2015;$387 ;$77 ;28;0;
146041246;verified;Prospect Heights;strict;Private room;2012;$697 ;$139 ;14;79;5/12/2019
146195266;verified;Astoria;flexible;Shared room;2014;$710 ;$142 ;2;15;2/16/2017
148467235;verified;Harlem;strict;Private room;2004;$1,127 ;$225 ;3;57;2/8/2022
148767859;verified;Nolita;strict;Entire home/apt;2020;$249 ;$50 ;2;0;
150009190;unconfirmed;Harlem;strict;Entire home/apt;2008;$1,009 ;$202 ;2;19;6/14/2016
150519910;verified;Sunnyside;flexible;Private room;2006;$995 ;$199 ;29;1;10/11/2018
150519910;verified;Sunnyside;flexible;Private room;2006;$995 ;$199 ;29;1;10/11/2018
151277485;unconfirmed;Sunset Park;moderate;Entire home/apt;2017;$682 ;$136 ;1;59;6/27/2019
151746092;verified;Greenpoint;strict;Entire home/apt;2010;$1,001 ;$200 ;4;1;12/26/2018
152954123;unconfirmed;Chelsea;flexible;Private room;2018;$894 ;$179 ;1;78;5/27/2019
153630913;unconfirmed;Long Island City;flexible;Private room;2008;$1,047 ;$209 ;30;10;3/8/2020
153662109;verified;Cobble Hill;moderate;Entire home/apt;2008;$749 ;$150 ;2;11;10/7/2018
153933326;verified;Bedford-Stuyvesant;moderate;Private room;2006;$188 ;$38 ;1;2;12/12/2021
154235829;verified;Harlem;strict;Entire home/apt;2014;$457 ;$91 ;4;21;7/1/2019
154516729;verified;Flushing;moderate;Entire home/apt;2020;$470 ;$94 ;1;33;2/22/2022
157310948;unconfirmed;Washington Heights;flexible;Private room;2020;$462 ;$92 ;2;0;
158388023;verified;Upper West Side;strict;Private room;2018;$932 ;$186 ;1;86;7/5/2019
158815576;unconfirmed;Sunnyside;moderate;Entire home/apt;2009;$284 ;$57 ;2;67;2/27/2022
159059042;verified;Bedford-Stuyvesant;flexible;Entire home/apt;2019;$560 ;$112 ;30;3;11/14/2021
159185860;verified;Windsor Terrace;moderate;Entire home/apt;2011;$633 ;$127 ;5;1;3/24/2016
159402736;unconfirmed;Bushwick;flexible;Entire home/apt;2022;$1,167 ;$233 ;30;7;12/17/2021
159415216;unconfirmed;East Flatbush;strict;Private room;2011;$311 ;$62 ;1;11;6/27/2019
160465313;unconfirmed;West Brighton;flexible;Private room;2007;$1,036 ;$207 ;2;56;1/4/2019
161504574;verified;Bedford-Stuyvesant;strict;Entire home/apt;2012;$1,058 ;$212 ;2;212;2/15/2022
162511322;unconfirmed;Bushwick;flexible;Private room;2022;$163 ;$33 ;1;4;9/28/2017
163561221;unconfirmed;Hell's Kitchen;flexible;Entire home/apt;2016;$151 ;$30 ;30;3;6/30/2019
165980833;verified;Sunnyside;moderate;Entire home/apt;2013;$384 ;$77 ;30;9;8/20/2016
166160817;verified;Washington Heights;moderate;Private room;2018;$1,055 ;$211 ;1;6;5/6/2018
166847844;unconfirmed;Woodhaven;moderate;Private room;2006;$805 ;$161 ;3;24;6/10/2019
167993309;unconfirmed;Hollis;flexible;Private room;2021;$87 ;$17 ;30;1;3/2/2022
169042877;verified;Prospect-Lefferts Gardens;strict;Entire home/apt;2013;$936 ;$187 ;5;27;2/17/2022
170610620;unconfirmed;Springfield Gardens;moderate;Entire home/apt;2020;$1,013 ;$203 ;3;1;1/3/2022
170685878;unconfirmed;Cambria Heights;strict;Entire home/apt;2008;$331 ;$66 ;2;90;6/24/2019
171389871;verified;Chelsea;flexible;Private room;2005;$1,094 ;$219 ;1;48;6/16/2019
173005356;unconfirmed;Midtown;moderate;Entire home/apt;2012;$683 ;$137 ;30;0;
174412671;verified;Fort Greene;moderate;Private room;2018;$141 ;$28 ;10;0;
175335417;verified;East Harlem;flexible;Private room;2005;$300 ;$60 ;1;18;6/15/2019
176047243;unconfirmed;East Harlem;strict;Shared room;2007;$260 ;$52 ;1;8;6/16/2019
176369804;unconfirmed;Upper East Side;flexible;Private room;2018;$326 ;$65 ;1;7;12/12/2018
176369804;unconfirmed;Upper East Side;flexible;Private room;2018;$326 ;$65 ;1;7;12/12/2018
177106725;verified;Highbridge;moderate;Private room;2010;$873 ;$175 ;2;107;6/14/2019
177143582;verified;Williamsburg;strict;Entire home/apt;2017;$517 ;$103 ;2;175;7/2/2019
177539096;unconfirmed;Sunnyside;moderate;Private room;2005;$265 ;$53 ;1;4;6/3/2019
178541978;unconfirmed;Elmhurst;flexible;Private room;2015;$1,190 ;$238 ;1;21;6/8/2019
179396972;verified;Bushwick;flexible;Entire home/apt;2007;$60 ;$12 ;4;11;5/22/2017
182476890;unconfirmed;Long Island City;strict;Private room;2016;$819 ;$164 ;2;1;1/2/2018
185203287;verified;Crown Heights;flexible;Private room;2011;$206 ;$41 ;21;10;12/17/2021
187229905;verified;St. Albans;strict;Entire home/apt;2010;$384 ;$77 ;3;59;5/26/2019
188350179;unconfirmed;Upper East Side;strict;Entire home/apt;2003;$925 ;$185 ;30;1;12/19/2021
188599774;verified;Arverne;moderate;Private room;2003;$361 ;$72 ;1;25;6/21/2019
190304158;verified;Chelsea;flexible;Private room;2014;$358 ;$72 ;1;0;
190870460;unconfirmed;Midwood;flexible;Entire home/apt;2016;$831 ;$166 ;14;3;7/24/2018
191402488;verified;Sheepshead Bay;flexible;Private room;2016;$464 ;$93 ;1;0;
191490859;unconfirmed;West Village;moderate;Entire home/apt;2009;$1,085 ;$217 ;2;29;3/10/2019
193553344;unconfirmed;East Flatbush;moderate;Private room;2012;$413 ;$83 ;1;15;10/8/2018
194976642;unconfirmed;Bedford-Stuyvesant;moderate;Private room;2014;$417 ;$83 ;1;20;7/7/2019
195340831;unconfirmed;Sunnyside;strict;Private room;2003;$1,170 ;$234 ;1;33;1/2/2022
195418678;unconfirmed;Williamsburg;moderate;Private room;2003;$366 ;$73 ;2;43;5/28/2019
196237563;verified;Park Slope;flexible;Entire home/apt;2008;$776 ;$155 ;4;7;6/16/2019
198778066;unconfirmed;Clinton Hill;strict;Entire home/apt;2021;$468 ;$94 ;1;315;6/22/2019
199610755;unconfirmed;Chelsea;flexible;Private room;2010;$841 ;$168 ;3;4;10/10/2017
199714683;unconfirmed;East Village;strict;Entire home/apt;2011;$474 ;$95 ;30;100;7/1/2019
199813268;verified;Ozone Park;moderate;Private room;2022;$676 ;$135 ;1;0;
201071621;unconfirmed;Harlem;moderate;Entire home/apt;2003;$467 ;$93 ;2;144;2/27/2022
201784414;verified;Bedford-Stuyvesant;flexible;Entire home/apt;2004;$535 ;$107 ;30;13;5/31/2019
202177513;verified;Woodside;flexible;Private room;2010;$989 ;$198 ;30;5;2/8/2022
202479149;unconfirmed;Williamsburg;flexible;Entire home/apt;2020;$831 ;$166 ;9;13;7/1/2019
202489488;unconfirmed;Crown Heights;strict;Entire home/apt;2011;$305 ;$61 ;4;8;1/3/2019
203294678;verified;Forest Hills;moderate;Private room;2014;$968 ;$194 ;60;4;8/3/2018
205209506;unconfirmed;Bedford-Stuyvesant;moderate;Private room;2012;$781 ;$156 ;2;20;6/12/2019
206548241;verified;Financial District;moderate;Entire home/apt;2004;$990 ;$198 ;2;70;2/19/2022
207127826;unconfirmed;Harlem;flexible;Private room;2015;$146 ;$29 ;1;107;6/25/2019
207747930;verified;Harlem;moderate;Private room;2020;$848 ;$170 ;2;0;
209566505;unconfirmed;Greenwich Village;flexible;Hotel room;2012;$716 ;$143 ;1;60;1/17/2022
210699738;verified;East New York;moderate;Entire home/apt;2015;$686 ;$137 ;2;54;6/25/2019
211328448;verified;Harlem;flexible;Private room;2013;$268 ;$54 ;14;5;1/25/2019
211781143;verified;Breezy Point;moderate;Private room;2016;$232 ;$46 ;1;4;6/15/2019
211910619;verified;Williamsburg;strict;Private room;2005;$1,135 ;$227 ;28;9;1/28/2022
212995194;unconfirmed;Bedford-Stuyvesant;flexible;Private room;2003;$1,036 ;$207 ;1;29;7/6/2019
214981393;verified;Upper East Side;moderate;Entire home/apt;2014;$313 ;$63 ;7;3;7/7/2018
215491272;unconfirmed;Harlem;flexible;Private room;2011;$1,170 ;$234 ;1;28;2/22/2019
215828627;verified;East Village;strict;Entire home/apt;2018;$442 ;$88 ;1;29;7/1/2019
216745125;verified;Woodside;flexible;Private room;2021;$1,099 ;$220 ;30;0;
216943287;unconfirmed;Midtown;flexible;Shared room;2010;$475 ;$95 ;7;2;1/1/2022
218261298;unconfirmed;Financial District;strict;Entire home/apt;2017;$570 ;$114 ;6;10;6/17/2019
219009769;verified;Greenwich Village;strict;Entire home/apt;2021;$1,118 ;$224 ;2;69;7/3/2019
219712831;verified;Williamsburg;flexible;Private room;2022;$625 ;$125 ;2;36;6/24/2019
220096330;unconfirmed;Williamsburg;moderate;Entire home/apt;2009;$530 ;$106 ;1;0;
220159347;verified;Woodside;strict;Private room;2008;$1,165 ;$233 ;1;0;
220451294;unconfirmed;Upper West Side;strict;Private room;2018;$485 ;$97 ;7;1;1/5/2017
220979350;verified;Williamsburg;moderate;Private room;2018;$663 ;$133 ;2;31;3/31/2017
221918462;verified;Greenpoint;moderate;Entire home/apt;2008;$1,118 ;$224 ;2;14;6/8/2019
222714646;verified;Brooklyn Heights;flexible;Entire home/apt;2020;$100 ;$20 ;2;80;6/28/2019
222742766;verified;Williamsburg;flexible;Entire home/apt;2013;$702 ;$140 ;2;5;2/21/2022
223563901;unconfirmed;Gowanus;flexible;Entire home/apt;2011;$80 ;$16 ;3;178;6/23/2019
223988781;unconfirmed;Midtown;strict;Entire home/apt;2004;$888 ;$178 ;4;8;5/25/2019
228117692;verified;Concourse Village;moderate;Private room;2010;$509 ;$102 ;1;0;
230677324;verified;Brooklyn Heights;moderate;Entire home/apt;2021;$273 ;$55 ;4;3;6/15/2019
231372948;unconfirmed;Bushwick;moderate;Shared room;2014;$836 ;$167 ;30;0;
232268189;unconfirmed;Harlem;flexible;Private room;2010;$163 ;$33 ;5;2;10/15/2017
232577737;verified;Bedford-Stuyvesant;flexible;Entire home/apt;2012;$883 ;$177 ;5;3;4/2/2014
232731880;unconfirmed;Bushwick;moderate;Private room;2016;$731 ;$146 ;5;21;11/30/2018
233019868;unconfirmed;Harlem;strict;Private room;2015;$918 ;$184 ;2;100;1/21/2022
234136209;unconfirmed;Clinton Hill;strict;Private room;2014;$658 ;$132 ;1;2;5/16/2017
236791841;verified;Two Bridges;flexible;Private room;2012;$735 ;$147 ;1;9;7/8/2019
237945273;unconfirmed;East Village;strict;Entire home/apt;2015;$1,127 ;$225 ;1;299;6/23/2019
238293642;verified;Park Slope;moderate;Entire home/apt;2019;$574 ;$115 ;12;2;8/13/2017
238978780;verified;Prospect-Lefferts Gardens;moderate;Private room;2008;$1,029 ;$206 ;1;4;2/23/2022
239911810;unconfirmed;Rego Park;moderate;Entire home/apt;2016;$679 ;$136 ;30;1;5/24/2021
240431297;verified;Financial District;flexible;Private room;2006;$438 ;$88 ;1;32;2/13/2022
240684283;unconfirmed;Upper West Side;strict;Private room;2020;$1,098 ;$220 ;1;0;
243474282;unconfirmed;East Village;moderate;Private room;2014;$384 ;$77 ;27;0;
243674926;verified;Bushwick;moderate;Entire home/apt;2008;$832 ;$166 ;5;38;2/22/2022
244243706;verified;Fort Greene;flexible;Private room;2011;$566 ;$113 ;5;0;
246371399;unconfirmed;Financial District;flexible;Private room;2019;$675 ;$135 ;5;1;1/1/2017
