ID;Restaurant Name;Score;Latitude;Longitude;Review Snippet
SDT-001;Tacos El Gordo;4,6;32,6305;-117,0601;"""The adobada is non-negotiable. Authenticity at its peak."""
SDT-002;The Taco Stand;4,7;32,8427;-117,2731;"""Handmade tortillas make the Al Pastor truly stand out."""
SDT-003;Las Cuatro Milpas;4,8;32,7003;-117,1431;"""Old school charm with the best chorizo in Barrio Logan."""
SDT-004;Lucha Libre Taco Shop;4,3;32,7441;-117,1724;"""Get the Undefeated Taco; the salsa bar is top-tier."""
SDT-005;Oscars Mexican Seafood;4,7;32,8028;-117,2536;"""Incredible smoked fish and spicy shrimp tacos."""
SDT-006;Lola 55;4,6;32,7101;-117,1528;"""Michelin-worthy cauliflower and baja fish tacos."""
SDT-007;Puesto (La Jolla);4,4;32,8475;-117,2733;"""The crispy melted cheese layer is a game changer."""
SDT-008;City Tacos;4,5;32,7485;-117,1293;"""Creative toppings like caramelized pineapples and nuts."""
SDT-009;Tuetano Taqueria;4,6;32,5552;-117,0628;"""Bone marrow tacos that are rich, buttery, and unique."""
SDT-010;TJ Oyster Bar;4,5;32,6454;-116,9852;"""Unbeatable $1.50 fish tacos and fresh ceviche."""
SDT-011;Salud Taco Shop;4,4;32,7005;-117,1425;"""The Barrio Taco is savory, smoky, and delicious."""
SDT-012;Kiko's Place;4,8;32,7667;-117,1583;"""The OG fish taco truck. Simple and perfect."""
SDT-013;Tacos El Franc;4,7;32,6105;-117,0423;"""Classic TJ style with perfectly charred carne asada."""
SDT-014;South Beach Bar & Grille;4,5;32,7445;-117,2515;"""World-famous mahi fish tacos with a pier-side view."""
SDT-015;Lolita’s Mexican Food;4,3;32,6421;-117,0185;"""The crunchy tacos with parmesan are a local secret."""
SDT-016;The Brigantine;4,4;32,7163;-117,1728;"""Upscale battered fish tacos that never disappoint."""
SDT-017;Birria El Rey;4,7;32,7151;-117,1352;"""Incredible consomé and juicy birria de res."""
SDT-018;Tacos Machin;4,5;32,6288;-117,0581;"""Handcrafted salsas that elevate every bite."""
SDT-019;Aqui es Texcoco;4,4;32,6234;-117,0512;"""Traditional lamb barbecue that is tender and earthy."""
SDT-020;Sabor A Birria;4,6;32,7241;-117,1285;"""A South Park hidden gem for authentic street birria."""
SDT-021;Valle (Oceanside);4,8;33,1931;-117,3822;"""Wagyu quesatacos that define modern luxury."""
SDT-022;De Cabeza El Único;4,6;32,6152;-117,0551;"""Melt-in-your-mouth cabeza for the true enthusiast."""
SDT-023;Carnitas Las Michoacanas;4,5;32,7051;-117,1023;"""Golden-brown carnitas made fresh daily."""
SDT-024;Taquería Los Chuchys;4,4;32,7412;-117,0985;"""Vibrant salsas and a true neighborhood vibe."""
SDT-025;Fish Guts;4,7;32,7012;-117,1405;"""The opah belly al pastor is a seafood revelation."""
SDT-026;Mariscos Nine Seas;4,6;32,7235;-117,1292;"""Affordable, fresh seafood tacos."""
SDT-027;Jalapeños;4,3;32,9821;-117,0781;"""Consistent quality and great California-style tacos."""
SDT-028;Taco Bar (San Marcos);4,5;33,1432;-117,1654;"""North County's best-kept taco secret."""
SDT-029;Ricos Taco Shop;4,4;33,0481;-117,2721;"""Encinitas favorite for post-surf refueling."""
SDT-030;Old Town Mexican Cafe;4,3;32,7534;-117,1951;"""Watching them make tortillas in the window is the best."""
SDT-031;Cafe Coyote;4,1;32,7541;-117,1962;"""Festive atmosphere and huge portions."""
SDT-032;Tacos El Paisa;4,5;32,7056;-117,0954;"""The smoky aroma from the grill hits you blocks away."""
SDT-033;La Vecindad;4,4;32,7481;-117,1605;"""Mexico City style recipes right in Hillcrest."""
SDT-034;Go Go Amigo;4,2;32,7341;-117,2142;"""Modern outdoor vibes with creative fusion tacos."""
SDT-035;Mariscos German Beyer;4,6;32,5512;-117,0352;"""Baja-style shrimp and mariscos in San Ysidro."""
SDT-036;Taco Taco Poway;4,4;32,9641;-117,0392;"""Reliable, high-quality street tacos."""
SDT-037;Taqueria Las Mulas;4,5;32,7941;-116,9621;"""The best adobada mulitas in El Cajon."""
SDT-038;El Tianguis;4,6;32,7489;-117,1281;"""Specializing in rolled tacos that stay perfectly crispy."""
SDT-039;Crack Taco Shop;4,5;32,7845;-117,1212;"""Their tri-tip tacos are legendary."""
SDT-040;El Chingon;4,2;32,7125;-117,1602;"""Badass tacos with a high-energy Gaslamp vibe."""
SDT-041;Fishermen's Market;4,6;33,1551;-117,3481;"""Ultra-fresh catch-of-the-day tacos."""
SDT-042;Hasta Mañana;4,3;32,7115;-117,1581;"""Creative mezcal pairings with street-style tacos."""
SDT-043;La Jollita;4,5;32,8465;-117,2711;"""Traditional Mexican flavors in a cozy La Jolla nook."""
SDT-044;Los Panchos;4,2;32,7145;-117,1615;"""A downtown staple for late-night cravings."""
SDT-045;Nico's Fish Market;4,6;32,7212;-117,1551;"""Fresh poke and fish tacos in the heart of the city."""
SDT-046;Shore Rider;4,3;32,8521;-117,2562;"""Casual beach tacos perfect after the surf."""
SDT-047;Tacos El Panson;4,5;32,7561;-117,0982;"""Generous portions and very spicy salsas."""
SDT-048;TJ Tacos (Escondido);4,6;33,1251;-117,0851;"""A North County institution for authentic adobada."""
SDT-049;Tortilla Mia;4,5;32,6341;-117,0123;"""Hand-pressed tortillas that elevate every protein."""
SDT-050;The Craft Taco;4,4;32,9051;-117,2241;"""Gourmet blue corn tortillas with poke fillings."""
