carat,cut,color,clarity,depth,table,price,x,y,z,es_premium,categoria_precio,precio_por_quilate
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,True,Económico,1417.391304347826
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,True,Económico,1552.3809523809525
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,False,Económico,1421.7391304347825
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,True,Económico,1151.7241379310346
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,False,Económico,1080.6451612903227
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,False,Económico,1400.0
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,False,Económico,1400.0
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,False,Económico,1296.1538461538462
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,False,Económico,1531.8181818181818
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,False,Económico,1469.5652173913043
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,False,Económico,1130.0
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,True,Económico,1478.2608695652173
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,True,Económico,1554.5454545454545
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,True,Económico,1109.6774193548388
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,True,Económico,1725.0
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,True,Económico,1078.125
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,True,Económico,1160.0
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,False,Económico,1170.0
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,False,Económico,1170.0
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,False,Económico,1170.0
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,False,Económico,1170.0
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,False,Económico,1530.4347826086955
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,False,Económico,1534.782608695652
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,False,Económico,1138.7096774193549
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,False,Económico,1138.7096774193549
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,False,Económico,1539.1304347826085
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,True,Económico,1479.1666666666667
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,False,Económico,1190.0
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,False,Económico,1552.1739130434783
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,False,Económico,1552.1739130434783
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,False,Económico,1747.8260869565217
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,False,Económico,1747.8260869565217
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,False,Económico,1747.8260869565217
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,False,Económico,1747.8260869565217
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,False,Económico,1747.8260869565217
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,False,Económico,1747.8260869565217
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,False,Económico,1747.8260869565217
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,False,Económico,1296.774193548387
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,False,Económico,1550.0
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,True,Económico,1221.2121212121212
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,True,Económico,1221.2121212121212
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,True,Económico,1221.2121212121212
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,False,Económico,1550.0
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,False,Económico,1550.0
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,False,Económico,1259.375
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,True,Económico,1389.6551724137933
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,False,Económico,1259.375
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,False,Económico,1259.375
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,False,Económico,1616.0
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,False,Económico,1393.103448275862
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,False,Económico,1683.3333333333335
